CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
1,2082.9581,32.70288538,0,40.9,74,102.5024877,2018,1,0
1,1277.1589,11.00199043,0,43.2,84.3,108.4609028,2018,1,0
1,1449,55.41752933,1,38.9,70.5,97.57125394,2018,1,0
1,2437.3152,60.18169501,1,22.2,49.8,55.75500225,2018,1,0
1,1074.0419,29.31101664,0,37.4,72,93.8806876,2018,1,0
0,1302.5987,23.37970244,0,41.08967083,104.1857614,82.88288288,2018,0,0
0,2930.8288,66.93280071,1,36.43586833,92.38571658,64.88589212,2018,0,0
0,1956.3744,52.27392057,1,37.06015891,93.96864942,67.71871539,2018,0,0
0,782.3,18.17857599,0,51.30533485,130.0882987,70.65637066,2018,0,0
0,1712.451,55.93438878,1,2.894438138,7.339052252,69.89247312,2018,0,0
0,4127.0576,75.91533493,1,32.17934166,81.59299268,61.547763,2018,0,0
0,1468.1926,29.7112041,0,49.88649262,126.4907241,72.15665236,2018,0,0
0,1632.27,35.03694854,0,61.12372304,154.9835152,76.17661329,2018,0,0
0,3431,80.79277179,1,13.3938706,33.96110454,54.8617306,2018,0,0
0,1470.4139,19.50911237,0,51.47559591,130.5200077,79.84838913,2018,0,0
0,1301.7254,10.86194523,0,31.32803632,79.4344479,72.4137931,2018,0,0
0,1839.8676,40.08218852,0,33.76844495,85.62227627,65.67083107,2018,0,0
0,1834.5044,47.45197668,0,19.01248581,48.20750009,65.08226691,2018,0,0
0,2612,46.01837672,0,2.099886493,5.324410457,56.88073394,2018,0,0
0,860.3533,27.1342366,0,55.90238365,141.7444405,67.47930083,2018,0,0
0,34.97,10.54017729,0,0.454029512,1.151223883,88,2018,0,0
0,1401.9698,54.72386067,1,7.037457435,17.84397018,56.33802817,2018,0,0
0,1670,38.14371257,0,29.28490352,74.25394043,71.44896502,2018,0,0
0,2323.948,73.77262744,1,1.475595914,3.741477619,48.91304348,2018,0,0
0,1152,31.94444444,0,42.33825199,107.3516271,74.61679951,2018,0,0
0,1152,31.94444444,0,34.27922815,86.91740314,74.06199021,2018,0,0
0,2089.3077,49.83098468,0,25.31214529,64.18073146,71.76591376,2018,0,0
0,1685.8713,34.27940792,0,59.02383655,149.6591047,69.29748482,2018,0,0
0,1519.9549,12.58467603,0,45.8569807,116.2736121,80.80736544,2018,0,0
0,1665.3528,12.91866204,0,26.39046538,66.91488818,75.17667845,2018,0,0
0,958.0002,18.26721957,0,1.986379115,5.036604487,79.10447761,2018,0,0
0,1618.0391,32.39561393,0,30.64699205,77.70761208,78.2234957,2018,0,0
0,1361,20.35268185,0,34.79001135,88.21253001,72.94498382,2018,0,0
0,3290.522,36.32734867,0,0,0,,2018,0,0
0,343,21.86588921,0,1.021566402,2.590253736,62.3655914,2018,0,0
0,918.4163,10.20451183,0,39.1600454,99.29305988,67.68368618,2018,0,0
0,1259.7013,10.78688257,0,6.1861521,15.6854254,78.76106195,2018,0,0
0,3207.8507,30.18373018,0,59.47786606,150.8103286,69.28286853,2018,0,0
